index,voted
0,0.5529960271912231
1,0.9437381577432251
2,0.4772384474176026
3,0.16514184135328672
4,0.6990397476342773
5,0.4464261872649536
6,0.8848430382904053
7,0.4419413577755127
8,0.30926560313635254
9,0.5769855598425904
10,0.28207933813632197
11,0.8568244435526733
12,0.3937840319715881
13,0.5227081644085694
14,0.34455081274566646
15,0.9796419161974487
16,0.8099124456018066
17,0.33808333612338254
18,0.44633050029660026
19,0.4460888503778076
20,0.36551076335665894
21,0.4289334164891663
22,0.19652246256072997
23,0.3018531980099487
24,0.7078429860302735
25,0.14582717356158442
26,0.9804503420702515
27,0.45864179322225956
28,0.36986063949572756
29,0.22391131294876096
30,0.4620845020111084
31,0.8111030105725707
32,0.21317389369841
33,0.5533013440447998
34,0.5346585734606628
35,0.1812042907251129
36,0.32433424611877437
37,0.44893273263272093
38,0.35020486396853634
39,0.33315927993728633
40,0.39380358217276
41,0.9196990702697754
42,0.8905898105011597
43,0.5625301140115357
44,0.9834658354887085
45,0.3111289145083923
46,0.6998861801114502
47,0.9852481219970702
48,0.4707035285112915
49,0.9353115338997803
50,0.20206716804048155
51,0.9221865271085206
52,0.4820192586512452
53,0.8606095069647217
54,0.9953391903979492
55,0.5400920434313965
56,0.5433123914813232
57,0.6270020256723022
58,0.8137642991189575
59,0.2923598451054382
60,0.8957814589160156
61,0.5057085661032104
62,0.4586043825878906
63,0.48515246379821775
64,0.31456464650665283
65,0.7137871521400757
66,0.32749237968307493
67,0.2644519444434204
68,0.4491843689933472
69,0.4609225785574341
70,0.23276578355374145
71,0.44629483294711303
72,0.23625490914505004
73,0.738766817046814
74,0.882846523067871
75,0.40813708054147335
76,0.7869150151560669
77,0.28612333342669677
78,0.4937864413076172
79,0.34160622078976444
80,0.9882559526190184
81,0.3497099920219421
82,0.4391807766034851
83,0.37125984673916623
84,0.7444608495004272
85,0.42348961866549684
86,0.8166110521025391
87,0.36546716306106564
88,0.2833328625918274
89,0.7044200446899413
90,0.9939188294244385
91,0.31440197938262937
92,0.2749137929312133
93,0.36470512586639403
94,0.5688916352624511
95,0.867230165163269
96,0.5368335952880859
97,0.9469503993747559
98,0.45258070130801387
99,0.5338489811895751
100,0.2137890641102142
101,0.39823908912597655
102,0.7834397339828492
103,0.3501431563605042
104,0.2033830201631927
105,0.37814038030703734
106,0.35762505446212767
107,0.4002516823588562
108,0.7492278832009888
109,0.27842961297668456
110,0.5902877830893555
111,0.24438733804496762
112,0.863235626362854
113,0.8444762971636963
114,0.9336812871264039
115,0.9800301557766113
116,0.4342855089164429
117,0.27299925009432985
118,0.24139970278527834
